0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:36 +0530] "GET /Project_4/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:36 +0530] "GET /Project_4/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/in/co/pro4/bean/package-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:38 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/in/co/pro4/bean/BaseBean.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:40 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
